; alternate spellings for mw headwords
; Part 1:  based on pw prefixed verbs, which also occur in mw
;  but with different spelling.
; The prefixed verb records are sub-headwords of pw verb records,
; but in mw, they are separate headwords.
; format:  mw spelling <tab> alternate pw spelling
; ---------------------------------------------------
; ---------------------------------------------------
anuDUpaya	anuDUpay
avaDUpaya	avaDUpay
ADUpaya	ADUpay
udDUpaya	udDUpay
upaDUpaya	upaDUpay
nirDUpaya	nirDUpay
praDUpaya	praDUpay
viDUpaya	viDUpay
viDUpAya	viDUpAy
ADUmaya	ADUmay
praDUmaya	praDUmay
avaDUlaya	avaDUlay
udDUlaya	udDUlay
atiDyE	atiDyA
anuDyE	anuDyA
samanuDyE	samanuDyA
apaDyE	apaDyA
samapaDyE	samapaDyA
aBiDyE	aBiDyA
samaBiDyE	samaBiDyA
avaDyE	avaDyA
ADyE	ADyA
samADyE	samADyA
upaDyE	upaDyA
niDyE	niDyA
aBiniDyE	aBiniDyA
praRiDyE	praRiDyA
nirDyE	nirDyA
pariDyE	pariDyA
praDyE	praDyA
sampraDyE	sampraDyA
pratiDyE	pratiDyA
samDyE	samDyA
saMnamasya	saMnamasy
aDinft	aDinart
anunft	anunart
aBinft	aBinart
Anft	Anart
aByAnft	aByAnart
upanft	upanart
ninft	ninart
aBininft	aBininart
pariRft	pariRart
praRft	praRart
sampranft	sampranart
pratinft	pratinart
vinft	vinart
saMnft	saMnart
pratinyUNKaya	pratinyUNKay
aBipf	aBipar
samaBipf	samaBipar
avapf	avapar
Apf	Apar
samApf	samApar
utpf	utpar
upapf	upapar
nipf	nipar
nispf	nispar
paripf	paripar
saMparipf	saMparipar
prapf	prapar
aBiprapf	aBiprapar
pratipf	pratipar
saMpf	saMpar
atipf	atipar
apapf	apapar
aDipfc	aDiparc
apipfc	apiparc
Apfc	Aparc
upapfc	upaparc
nispfc	nisparc
prapfc	praparc
vipfc	viparc
saMpfc	saMparc
atipAl	atipAlay
anupAl	anupAlay
samanupAl	samanupAlay
aBipAl	aBipAlay
samaBipAl	samaBipAlay
nipAl	nipAlay
paripAl	paripAlay
saMparipAl	saMparipAlay
prapAl	prapAlay
pratipAl	pratipAlay
sampratipAl	sampratipAlay
saMpAl	saMpAlay
avapASaya	avapASay
vipASaya	vipASay
avapiRq	avapiRqay
utpiRq	utpiRqay
paripiRq	paripiRqay
saMpiRq	saMpiRqay
avapuYjaya	avapuYjay
utpuYjaya	utpuYjay
ApyE	ApyA
pratyApyE	pratyApyA
samApyE	samApyA
prapyE	prapyA
nipriyAya	nipriyAy
aBipruz	aBipruzAy
Apruz	ApruzAy
atibfh	atibarh
avabfh	avabarh
Abfh	Abarh
udbfh	udbarh
samudbfh	samudbarh
nibfh	nibarh
vinibfh	vinibarh
saMnibfh	saMnibarh
nirdfh	nirdarh
paribfh	paribarh
prabfh	prabarh
upaprabfh	upaprabarh
vibfh	vibarh
udvibfh	udvibarh
sambfh	sambarh
aBibfh	aBibarh
upabfh	upabarh
samupabfh	samupabarh
atibAzpAya	atibAzpAy
anuBf	anuBar
apaBf	apaBar
aBiBf	aBiBar
avaBf	avaBar
ABf	ABar
aDyABf	aDyABar
upABf	upABar
paryABf	paryABar
samABf	samABar
udBf	udBar
aDyudBf	aDyudBar
paryudBf	paryudBar
niBf	niBar
saMniBf	saMniBar
nirDf	nirDar
parABf	parABar
praBf	praBar
aBipraBf	aBipraBar
pratiBf	pratiBar
viBf	viBar
samBf	samBar
anusamBf	anusamBar
aBisamBf	aBisamBar
upasamBf	upasamBar
udmaTAya	udmaTAy
parimaTAya	parimaTAy
aBimanasya	aBimanasy
anumantr	anumantray
aBimantr	aBimantray
samaBimantr	samaBimantray
Amantr	Amantray
udAmantr	udAmantray
upAmantr	upAmantray
samAmantr	samAmantray
upamantr	upamantray
aByupamantr	aByupamantray
nimantr	nimantray
aBinimantr	aBinimantray
upanimantr	upanimantray
saMnimantr	saMnimantray
parimantr	parimantray
pratimantr	pratimantray
sammantr	sammantray
anumf	anumar
aBimf	aBimar
Amf	Amar
upamf	upamar
parimf	parimar
pramf	pramar
nimf	nimar
aBipramf	aBipramar
vimf	vimar
aBimfC	aBimarC
anumfj	anumarj
apamfj	apamarj
aBimfj	aBimarj
Amfj	Amarj
apAmfj	apAmarj
vyAmfj	vyAmarj
udmfj	udmarj
samudmfj	samudmarj
upamfj	upamarj
nimfj	nimarj
nirmfj	nirmarj
parAmfj	parAmarj
pramfj	pramarj
vipramfj	vipramarj
pratimfj	pratimarj
vimfj	vimarj
anuvimfj	anuvimarj
aBivimfj	aBivimarj
saMmfj	saMmarj
pramfq	pramarq
atimfd	atimard
apamfd	apamard
aBimfd	aBimard
avamfd	avamard
Amfd	Amard
aByAmfd	aByAmard
vyAmfd	vyAmard
udmfd	udmard
upamfd	upamard
nimfd	nimard
parAmfd	parAmard
parimfd	parimard
pramfd	pramard
sampramfd	sampramard
pratimfd	pratimard
vimfd	vimard
saMvimfd	saMvimard
parimfD	parimarD
vimfD	vimarD
sammfD	sammarD
atimfS	atimarS
vyatimfS	vyatimarS
aByaDimfS	aByaDimarS
anumfS	anumarS
apamfS	apamarS
aBimfS	aBimarS
pratyaBimfS	pratyaBimarS
avamfS	avamarS
anvavamfS	anvavamarS
pratyavamfS	pratyavamarS
samavamfS	samavamarS
AmfS	AmarS
udmfS	udmarS
parAmfS	parAmarS
anuparAmfS	anuparAmarS
upopamfS	upopamarS
pratiparAmfS	pratiparAmarS
parimfS	parimarS
aBipramfS	aBipramarS
pratimfS	pratimarS
vimfS	vimarS
anuvimfS	anuvimarS
pravimfS	pravimarS
sammfS	sammarS
aBisammfS	aBisammarS
apamfz	apamarz
apimfz	apimarz
Amfz	Amarz
upamfz	upamarz
parimfz	parimarz
pramfz	pramarz
vimfz	vimarz
vyatimiSr	vyatimiSray
anumiSr	anumiSray
vyAmiSr	vyAmiSray
vimiSr	vimiSray
sammiSr	sammiSray
