rAvaRaBEw,CalAkzara
rugviniScaya,rogaviniScaya
rugviniScaya,mADavanidAna
rudracandradeva,rudradeva
rudrajapa,rudrajApya
rudrawa,SatAnanda
rudrapUjana,rudrapUjA
lakzmI,lakzmIdeva
laGujAtaka,sUkzmajAtaka
laGuvAyustuti,aRuvAyustuti
laGusidDAntakOmudI,laGukOmudI
lAlabahAdur,lAlapaRqita
lIlAvatI,pAwIlIlAvatI
leKAramBa,vikramacarita
lomaSaSikzA,lomaSISikzA
lohAcalamAhAtmya,kumAramAhAtmya
varadarAjaSataka,varadarAjastava
vallaBAcArya,vallaBa
vallaBAcArya,vallaBadIkzita
vasantapaYcamIprayoga,ratikAmapUjA
vasizWasaMhitA,vasizWasidDAnta
vasizWasidDAnta,viSvaprakASa
vAcaspatikalpataru,vedAntakalpataru
vAYCAnATa,bAlakavi
vAtulatantra,vAtUlatantra
vAdanakzatramAlikA,nakzatravAdamAlikA
vAyupratyakzavAda,vAyupratyakzavicAra
vAhawa,bAhawa
vijayIndrayatIndra,Bikzu
viwWaladIkzita,viwWaleSa
viwWaladIkzita,viwWaleSvara
viwWaladIkzita,agnikumAra
viwWaleSa,viwWaleSvara
vidyADara,sAhityavidyADara
vidyAnATa,vidyAniDi
viDisvarUpavAdArTa,viDinirUpaRa
vivAdArRavaBaNga,vivAdArRavaBaYjana
vivAhatattva,udvAhatattva
vivekamArtaRqa,yogapradIpa
vivekasinDu,vedAntArTavivecanamahABAzya
viSvarUpagaRaka,munISvara
viSveSvarasarasvatI,viSveSvarAnandasarasvatI
viSveSvaraBawwa,gAgABawwa
vizRutoziRI,vEzRavatoziRI
vizRupuro,vEkuRWapurI
vIra,vIraBawwa
vfttaSata,vfttaSataka
veNkawaAcArya,veNkawanATa
veNkawaAcArya,veNkaweSa
veNkawagirinATa,veNkaweSa
veNkawAdrinATa,veNkaweSvara
vedaDara,vedeSa
vedasArarahasya,prapaYcasAra
vedastuti,Srutistuti
vedANgarAya,mAlajit
vedAntadIpa,vedAntapradIpa
vedAntanAmaratnasahasravyAKyAna,svarUpAnusaMDAna
vedAntaSataSlokI,vedAntasiMha
vedAntasArasAra,jYAnaboDinI
vedAntasidDAntacandrikA,sidDAntacandrikA
vedArTacandra,vedArTapradIpa
vedArTacandra,pratiBAvilAsa
vedeSa,vedaDara
vEdyakasArasaMgraha,hitopadeSa
vEdyanATapAyaguRqe,bAlamBawwa
vEdyarAja,devarAja
vEdyavallaBa,triSatI
vEdyavallaBa,jvaratriSatI
vEyAkaraRasidDAntaratnAkara,sidDAntaratnAkara
vEzRavakaraRa,karaRavEzRava
vyavahAramAtfkA,nyAyamAtfkA
vyAsatIrTa,vyAsarAja
vratarAja,vrataprakASa
SakunaratnAvalI,kaTAkoSa
SakunArRava,SakunaSAstra
SakunArRava,SAkuna
SaNkara,oqASaNkara
SataSlokavyavahAraka,SataSlokI
SabaraBAzya,SAbaraBAzya
SabdasaMcaya,SabdAmBoDi
SabdAnuSAsana,azwADyAyI
SabdArTasAramaYjarI,sAramaYjarI
SARqilya,SARqilyAyana
SARqilyasUtra,BaktimImAMsAsUtra
SAntikalpapradIpa,kftyApallavadIpikA
SArIrakopanizad,SArIropanizad
SAstrasidDAntaleSasaMgraha,sidDAntaleSasaMgraha
SAstrasidDAntaleSasaMgraha,sidDAntaleSa
SivatattvaboDa,tattvAvaboDa
Sivatattvopanizad,paramahaMsopanizad
SivastutiratnamAlA,SaNkarastuti
SivAdityamiSra,nyAyAcArya
SivAnandalaharI,SivalaharI
SizyaDIvfdDidamahAtantra,DIvfdDida
SudDAnandasarasvatI,SudDaBikzu
SUdrAcArasaMgraha,sacCUdrAcAra
SUlapARi,triSUlANka
SyAmAstotra,karpUrastava
SrAdDakalpasUtra,navakaRqikASrAdDasUtra
SrInivAsaAcArya,SrInivAsatIrTa
SrOtasUtra,kalpasUtra
SrOtasmAraRakarmapadDati,yAjYikavallaBA
SlokavArttika,mImAMsASlokavArttika
zawkArakavivecana,kArakacakra
zawcakrakrama,zawcakranirUpaRa
zawpaYcASikA,horAzawpaYcASikA
zaqaNga,zaqaNgarudra
saMskArakOstuBa,saMskAradIDiti
saMskAraviDi,gfhyakArikAH
saMkarzaRakARqa,saMkarzakARqa
saMkziptavedAntaSAstraprakriyA,vedAntaSAstrasaMkziptaprakriyA
saMkzeparAmAyaRa,rAmAyaRasaMkzepa
saMkzepaSaNkarajaya,SaNkaradigvijaya
saMDyABAzya,gAyatrIBAzya
samayAloka,durgAvatIprakASa
samarasAra,svarodaya
sarasvatItIrTa,narahari
sarvasAropanizad,anuBavasAropanizad
sarvopanizad,sarvopanizatsAra
sAMKyakArikA,sAMKyasaptati
sAMKyapravacanasUtra,sAMKyasUtra
sAMKyasAraviveka,sAMKyasAra
sAmbapaYcASikA,sUryastotra
sArasaMgraha,sArasinDu
sAhityasuDA,kAvyasuDA
siMhAsanadvAtriMSat,vikramacarita
sidDAntacandrikA,yuktisnehaprapUraRI
sidDAntatattvabindu,sidDAntabindu
sidDAntalakzaRa,sidDAntalakzaRA
sidDAntasundara,sundarasidDAnta
suKaboDanadIpikA,suboDinI
suKodaDi,suDAsAgara
sudarSanaAcArya,darSanArya
suDAsAra,suboDinI
suboDinI,suKaboDanadIpikA
sureSvaraAcArya,viSvarUpa
suvarRamuKarImAhAtmya,svarRamuKarImAhAtmya
sUtraDAramaRqana,maRqana
sUpaSAstra,pAkaSAstra
sUryakavi,sUryapaRqita
sUryakavi,sUryadAsa
sUryaSataka,mayUraSataka
sUryasUkta,sOrasUkta
setubanDa,rAmasetu
setubanDa,rAvaRavaha
snAnasUtrapariSizwa,trikaRqikAsUtra
spandasUtra,SivasUtra
smArtAnuzWAnapadDati,prayogaratna
smftidarpaRa,cidambarasmfti
smftimahArRava,mahArRava
smftiSeKara,kastUrismfti
smftisaMgraha,saMgraha
smftisAra,ASOcanirRaya
smftyarTaratnAkara,smftyarTasAra
svaprakASa,AtmaprakASa
svarapariBAzA,sAmalakzaRa
svarANkuSa,svaranirRaya
svalpajAtaka,sUkzmajAtaka
svAtmanirUpaRa,svAtmAnandaprakASa
svAtmArAmayogIndra,AtmArAma
harimIqestotra,haristotra
harivaMSagosvAmin,hitaharivaMSa
hariharasvAmin,harisvAmin
hfdayABaraRa,saKIhfdayABaraRa
kalpasUkta,kalpasUtra
govindArRava,smftisAgara
tiTidvEtanirRaya,tiTiviveka
dAyanirRaya,dAyaBAganirRaya
paramArTasAra,SezAryA
sadAcAracandrodaya,mADavaprakASa
aGanirRaya,ASOcanirRaya
adButadarpaRa,adButasaMgraha
apAdyAhOtra,divaHSyenIhOtra
apyodIkzita,accAdIkzita
aBiDAnaratnamAlA,zaqrasaniGaRwu
alaMkAratilaka,kAvyAnuSAsana
AcArasAratantra,AcArasAraprakaraRa
AtmatattvapradIpa,ISvaravilAsadIpikA
Atmatattvaviveka,bOdDaDikkAra
AtmArpaRastuti,SivapaYcASikA
ADAnaprayoga,prayogaratnaBUzA
AnandalaharI,sOndaryalaharI
ArADanaprayoga,yatyArADanaprayoga
ASOcanirRaya,zaqaSIti
uqudAyapradIpa,jAtakacandrikA
utpala,Bawwotpala
utpaladeva,utpala
utprekzAvallaBa,gokula
ulUkatantra,ulUkakalpa
ekAkzarIbEw,padaratnamUla
oMkAramAhAtmya,gItAsAra
OdumbarIsaMhitA,vratapaYcakanirRaya
karmatattvapradIpikA,laGudIpikA
kavirahasya,kaviguhya
kAtantrottara,sidDAnanda
kArakaKaRqanamaRqana,trilocanacandrikA
kArakacakra,subarTatattvAloka
kArakapariCeda,kArakavyUha
kASItattvaprakASikA,kASIsArodDAra
kumAratantra,bAlatantra
kfzRaBaktikalpavallI,BaktimaYjarI
kenezitopanizad,kenopanizad
keralapraSna,divyacUqAmaRi
keSavArka,keSavAditya
koRera,koRerin
