; Case 001  akz  2 (0/2)
03        pra       sKal              prasKal              prasKal yes
04      prati       sKal            pratisKal            pratisKal no
05         vi       sKal               visKal               visKal yes
06        sam       sKal              saMsKal              saMsKal no
; Case 717  stan  7 (3/4)
01        aBi       stan              aBizwan              aBizwan yes
02        nis       stan              nisstan              nisstan no
03     aBinis       stan           aBinisstan           aBinisstan no
04    parinis       stan          parinisstan          parinisstan no
05      vinis       stan            vinisstan            vinisstan no
06        pra       stan              prastan              prastan yes
07         vi       stan               vizwan               vizwan yes
; Case 718  staB  21 (0/21)
01        anu       staB              anustaB              anustaB no
02        apa       staB              apastaB              apastaB no
03        aBi       staB              aBizwaB              aBizwaB no
04        ava       staB              avastaB              avastaB no
05    paryava       staB          paryavastaB          paryavastaB no
06     samava       staB           samavastaB           samavastaB no
07         ud       staB               utstaB               utstaB no
08    pratyud       staB          pratyutstaB          pratyutstaB no
09        upa       staB              upastaB              upastaB no
10     samupa       staB           samupastaB           samupastaB no
11         ni       staB               nizwaB               nizwaB no
12       parA       staB             parAstaB             parAstaB no
13       pari       staB             parizwaB             parizwaB no
14        pra       staB              prastaB              prastaB no
15      prati       staB            pratizwaB            pratizwaB no
16         vi       staB               vizwaB               vizwaB no
17      anuvi       staB            anuvizwaB            anuvizwaB no
18        sam       staB              saMstaB              saMstaB no
19     aBisam       staB           aBisaMstaB           aBisaMstaB no
20    parisam       staB          parisaMstaB          parisaMstaB no
21   pratisam       staB         pratisaMstaB         pratisaMstaB no
; Case 719  staBAy  2 (0/2)
01        upa     staBAy            upastaBAy              upastaB no
02         vi     staBAy             vizwaBAy               vizwaB no
; Case 720  star  25 (10/15)
01        anu       star              anustar               anustf no
02        aBi       star              aBizwar               aBizwf no
03        ava       star              avastar               avastf no
04     samava       star           samavastar            samavastf no
05          A       star                Astar                 Astf yes
06        upA       star              upAstar               upAstf yes
07        prA       star              prAstar               prAstf no
08     pratyA       star           pratyAstar            pratyAstf no
09       samA       star             samAstar              samAstf yes
10        upa       star              upastar               upastf yes
11         ni       star               nizwar                nizwf no
12        nis       star              nisstar               nisstf no
13       pari       star             parizwar              parizwf no
14        pra       star              prastar               prastf yes
15     anupra       star           anuprastar            anuprastf yes
16     aBipra       star           aBiprastar            aBiprastf yes
17     upapra       star           upaprastar            upaprastf yes
18         vi       star               vizwar                vizwf no
19      ativi       star            ativizwar             ativizwf no
20      anuvi       star            anuvizwar             anuvizwf no
21        avi       star              avizwar               avizwf no
22      pravi       star            pravizwar             pravizwf no
23        sam       star              saMstar               saMstf yes
24     aBisam       star           aBisaMstar            aBisaMstf no
25    parisam       star          parisaMstar           parisaMstf yes
; Case 721  stiG  2 (0/2)
01        ati       stiG              atizwiG              atizwiG no
02        pra       stiG              prastiG              prastiG no
; Case 722  stu  16 (11/5)
01        ati        stu               atizwu               atizwu yes
02        anu        stu               anustu               anustu no
03        aBi        stu               aBizwu               aBizwu yes
04     samaBi        stu            samaBizwu            samaBizwu yes
05          A        stu                 Astu                 Astu no
06        upa        stu               upastu               upastu yes
07         ni        stu                nizwu                nizwu yes
08       pari        stu              parizwu              parizwu yes
09        pra        stu               prastu               prastu yes
10     aBipra        stu            aBiprastu            aBiprastu yes
11     saMpra        stu            samprastu            samprastu no
12      prati        stu             pratizwu             pratizwu no
13         vi        stu                vizwu                vizwu yes
14        sam        stu               saMstu               saMstu yes
15     aBisam        stu            aBisaMstu            aBisaMstu yes
16    parisam        stu           parisaMstu           parisaMstu no
; Case 723  stuB  10 (7/3)
01        anu       stuB              anustuB              anustuB no
02        aBi       stuB              aBizwuB              aBizwuB yes
03      vyava       stuB            vyavastuB            vyavastuB yes
04          A       stuB                AstuB                AstuB yes
05         ni       stuB               nizwuB               nizwuB no
06       pari       stuB             parizwuB             parizwuB yes
07        pra       stuB              prastuB              prastuB yes
08      prati       stuB            pratizwuB            pratizwuB yes
09         vi       stuB               vizwuB               vizwuB yes
10        sam       stuB              saMstuB              saMstuB no
; Case 724  styA  3 (1/2)
01         ni       styA               nizwyA               nizwyE yes
02        pra       styA              prastyA              prastyE no
03        sam       styA              saMstyA              saMstyE no
; Case 725  sTA  71 (40/31)
01        ati        sTA               atisTA               atisTA no
02      vyati        sTA             vyatisTA             vyatisTA no
03        aDi        sTA               aDisTA               aDisTA no
04     samaDi        sTA            samaDisTA            samaDisTA no
05        anu        sTA               anusTA               anusTA no
06     samanu        sTA            samanusTA            samanusTA no
07        apa        sTA               apasTA               apasTA no
08        api        sTA               apisTA               apisTA no
09        aBi        sTA               aBisTA               aBisTA no
10     samaBi        sTA            samaBisTA            samaBisTA no
11        ava        sTA               avasTA               avasTA yes
12     anvava        sTA            anvavasTA            anvavasTA yes
13     aByava        sTA            aByavasTA            aByavasTA no
14    paryava        sTA           paryavasTA           paryavasTA yes
15   pratyava        sTA          pratyavasTA          pratyavasTA yes
16      vyava        sTA             vyavasTA             vyavasTA yes
17     samava        sTA            samavasTA            samavasTA yes
18          A        sTA                 AsTA                 AsTA yes
19       anvA        sTA              anvAsTA              anvAsTA yes
20        udA        sTA               udAsTA               udAsTA yes
21        upA        sTA               upAsTA               upAsTA yes
22     samupA        sTA            samupAsTA            samupAsTA yes
23        prA        sTA               prAsTA               prAsTA no
24     pratyA        sTA            pratyAsTA            pratyAsTA yes
25        vyA        sTA               vyAsTA               vyAsTA yes
26     anuvyA        sTA            anuvyAsTA            anuvyAsTA yes
27       samA        sTA              samAsTA              samAsTA yes
28         ud        sTA                 utTA                 utTA yes
29      aDyud        sTA              aDyutTA              aDyutTA yes
30       anUd        sTA              anUtsTA              anUtsTA no
31      aByud        sTA              aByutTA              aByutTA yes
32   samaByud        sTA           samaByutTA           samaByutTA yes
33       upod        sTA              upotsTA              upotsTA no
34     paryud        sTA             paryutTA             paryutTA yes
35       prod        sTA              protsTA              protsTA no
36    pratyud        sTA            pratyutTA            pratyutTA yes
37       vyud        sTA               vyutTA               vyutTA yes
38      samud        sTA              samutTA              samutTA yes
39        upa        sTA               upasTA               upasTA yes
40      anUpa        sTA             anUpasTA             anUpasTA yes
41     aByupa        sTA            aByupasTA            aByupasTA yes
42    paryupa        sTA           paryupasTA           paryupasTA yes
43   pratyupa        sTA          pratyupasTA          pratyupasTA yes
44     samupa        sTA            samupasTA            samupasTA yes
45         ni        sTA                nisTA                nisTA no
46     parini        sTA            parinisTA            parinisTA no
47        nis        sTA               nissTA               nissTA no
48    parinis        sTA           parinissTA           parinissTA no
49       pari        sTA              parisTA              parisTA yes
50        pra        sTA               prasTA               prasTA yes
51     atipra        sTA            atiprasTA            atiprasTA yes
52     anupra        sTA            anuprasTA            anuprasTA yes
53     aBipra        sTA            aBiprasTA            aBiprasTA yes
54   pratipra        sTA          pratiprasTA          pratiprasTA no
55      vipra        sTA             viprasTA             viprasTA yes
56     saMpra        sTA            samprasTA            samprasTA yes
57      prati        sTA             pratisTA             pratisTA no
58   anuprati        sTA          anupratisTA          anupratisTA no
59   aBiprati        sTA          aBipratisTA          aBipratisTA no
60   saMprati        sTA          sampratisTA          sampratisTA no
61         vi        sTA                visTA                visTA no
62      anuvi        sTA             anuvisTA             anuvisTA no
63      aBivi        sTA             aBivisTA             aBivisTA no
64      upavi        sTA             upavisTA             upavisTA no
65        sam        sTA               saMsTA               saMsTA yes
66     anusam        sTA            anusaMsTA            anusaMsTA yes
67     aBisam        sTA            aBisaMsTA            aBisaMsTA yes
68     upasam        sTA            upasaMsTA            upasaMsTA yes
69    parisam        sTA           parisaMsTA           parisaMsTA no
70   pratisam        sTA          pratisaMsTA          pratisaMsTA no
71      visam        sTA             visaMsTA             visaMsTA no
; Case 726  snA  9 (3/6)
01        apa        snA               apasnA               apasnA no
02        aBi        snA               aBisnA               aBisnA no
03          A        snA                 AsnA                 AsnA no
04         ud        snA                utsnA                utsnA yes
05         ni        snA                nisnA                nisnA no
06        pra        snA               prasnA               prasnA yes
07      prati        snA             pratisnA             pratisnA no
08         vi        snA                visnA                visnA no
09        sam        snA               saMsnA               saMsnA yes
; Case 727  snih  3 (2/1)
01        aBi       snih              aBisnih              aBisnih no
02        upa       snih              upasnih              upasnih yes
03        sam       snih              saMsnih              saMsnih yes
; Case 728  snu  3 (1/2)
01        pra        snu               prasnu               prasnu yes
02     avapra        snu            avaprasnu            avaprasnu no
03   vyatipra        snu          vyatiprasnu          vyatiprasnu no
; Case 729  spand  8 (5/3)
01          A      spand               Aspand               Aspand yes
02        upa      spand             upaspand             upaspand no
03         ni      spand              nispand              nispand no
04      aBini      spand           aBinispand           aBinispand no
05       pari      spand            parispand            parispand yes
06        pra      spand             praspand             praspand yes
07         vi      spand              vispand              vispand yes
08        sam      spand             saMspand             saMspand yes
; Case 730  spar  5 (4/1)
01        apa       spar              apaspar               apaspf yes
02        ava       spar              avaspar               avaspf yes
03          A       spar                Aspar                 Aspf yes
04        nis       spar              nisspar               nisspf no
05         vi       spar               vispar                vispf yes
; Case 731  sparD  6 (5/1)
01        aDi      sparD             aDisparD             aDisparD yes
02       pari      sparD            parisparD            parisparD no
03        pra      sparD             prasparD             prasparD yes
04      prati      sparD           pratisparD           pratisparD yes
05         vi      sparD              visparD              visparD yes
06        sam      sparD             saMsparD             saMsparD yes
; Case 732  sparS  15 (14/1)
01        aDi      sparS             aDisparS              aDispfS yes
02        anu      sparS             anusparS              anuspfS yes
03        apa      sparS             apasparS              apaspfS no
04        aBi      sparS             aBisparS              aBispfS yes
05          A      sparS               AsparS                AspfS yes
06         ud      sparS              utsparS               utspfS yes
07        upa      sparS             upasparS              upaspfS yes
08   pratyupa      sparS        pratyupasparS         pratyupaspfS yes
09     samupa      sparS          samupasparS           samupaspfS yes
10         ni      sparS              nisparS               nispfS yes
11       pari      sparS            parisparS             parispfS yes
12        sam      sparS             saMsparS              saMspfS yes
13     anusam      sparS          anusaMsparS           anusaMspfS yes
14     aBisam      sparS          aBisaMsparS           aBisaMspfS yes
15    parisam      sparS         parisaMsparS          parisaMspfS yes
; Case 733  spaS  4 (0/4)
01        anu       spaS              anuspaS              anuspaS no
02      prati       spaS            pratispaS            pratispaS no
03         vi       spaS               vispaS               vispaS no
04        sam       spaS              saMspaS              saMspaS no
; Case 734  spUrD  1 (0/1)
01        pra      spUrD             praspUrD              praspfD no
; Case 735  spfhay  1 (1/0)
01        sam     spfhay            saMspfhay              saMspfh yes
; Case 736  sPar  3 (2/1)
01        nis       sPar              nissPar              nissPar no
02       pari       sPar             parisPar             parisPar yes
03         vi       sPar               visPar               visPar yes
; Case 737  sPal  3 (3/0)
01          A       sPal                AsPal                AsPal yes
02         vi       sPal               visPal               visPal yes
03        sam       sPal              saMsPal              saMsPal yes
; Case 738  sPAy  4 (2/2)
01          A       sPAy                AsPAy                AsPAy yes
02       pari       sPAy             parisPAy             parisPAy no
03         vi       sPAy               visPAy               visPAy yes
04        sam       sPAy              saMsPAy              saMsPAy no
; Case 739  sPuw  5 (4/1)
01          A       sPuw                AsPuw                AsPuw yes
02       pari       sPuw             parisPuw             parisPuw yes
03        pra       sPuw              prasPuw              prasPuw yes
04         vi       sPuw               visPuw               visPuw yes
05        sam       sPuw              saMsPuw              saMsPuw no
; Case 740  sPur  11 (10/1)
01        anu       sPur              anusPur              anusPur yes
02        apa       sPur              apasPur              apasPur yes
03      vyapa       sPur            vyapasPur            vyapasPur yes
04        ava       sPur              avasPur              avasPur yes
05         ni       sPur               nisPur               nisPur yes
06        nis       sPur              nissPur              nissPur no
07       pari       sPur             parisPur             parisPur yes
08        pra       sPur              prasPur              prasPur yes
09      prati       sPur            pratisPur            pratisPur yes
10         vi       sPur               visPur               visPur yes
11        sam       sPur              saMsPur              saMsPur yes
; Case 741  sPUrj  3 (3/0)
01        aBi      sPUrj             aBisPUrj             aBisPUrj yes
02        ava      sPUrj             avasPUrj             avasPUrj yes
03         vi      sPUrj              visPUrj              visPUrj yes
; Case 742  smar  13 (10/3)
01        anu       smar              anusmar               anusmf yes
02   pratyanu       smar         pratyanusmar          pratyanusmf yes
03     samanu       smar           samanusmar            samanusmf yes
04        apa       smar              apasmar               apasmf no
05        upa       smar              upasmar               upasmf yes
06         ni       smar               nismar                nismf no
07       vini       smar             vinismar              vinismf no
08        pra       smar              prasmar               prasmf yes
09      prati       smar            pratismar             pratismf yes
10         vi       smar               vismar                vismf yes
11        sam       smar              saMsmar               saMsmf yes
12     anusam       smar           anusaMsmar            anusaMsmf yes
13     aBisam       smar           aBisaMsmar            aBisaMsmf yes
; Case 743  smi  10 (8/2)
01        aBi        smi               aBismi               aBismi yes
02        ava        smi               avasmi               avasmi yes
03         ud        smi                utsmi                utsmi yes
04      aByud        smi             aByutsmi             aByutsmi yes
05        upa        smi               upasmi               upasmi yes
06       pari        smi              parismi              parismi no
07        pra        smi               prasmi               prasmi yes
08         vi        smi                vismi                vismi yes
09      anuvi        smi             anuvismi             anuvismi no
10        sam        smi               saMsmi               saMsmi yes
; Case 744  syad  21 (12/9)
01       acCa       syad             acCasyad            acCasyand no
02        ati       syad              atisyad             atisyand no
03        anu       syad              anusyad             anusyand no
04        aBi       syad              aBisyad             aBisyand yes
05     samaBi       syad           samaBisyad          samaBisyand no
06        ava       syad              avasyad             avasyand yes
07     aByava       syad           aByavasyad          aByavasyand yes
08          A       syad                Asyad               Asyand yes
09        upA       syad              upAsyad             upAsyand yes
10        upa       syad              upasyad             upasyand no
11         ni       syad               nisyad              nisyand yes
12      aBini       syad            aBinisyad           aBinisyand yes
13        nis       syad              nissyad             nissyand no
14       pari       syad             parisyad            parisyand no
15        pra       syad              prasyad             prasyand yes
16    paripra       syad          pariprasyad         pariprasyand yes
17         vi       syad               visyad              visyand yes
18      anuvi       syad            anuvisyad           anuvisyand no
19      aBivi       syad            aBivisyad           aBivisyand no
20        sam       syad              saMsyad             saMsyand yes
21     anusam       syad           anusaMsyad          anusaMsyand yes
; Case 745  sraMs  9 (7/2)
01        ati      sraMs             atisraMs             atisraMs yes
02        ava      sraMs             avasraMs             avasraMs yes
03      vyava      sraMs           vyavasraMs           vyavasraMs yes
04          A      sraMs               AsraMs               AsraMs yes
05         ud      sraMs              utsraMs              utsraMs no
06       pari      sraMs            parisraMs            parisraMs no
07        pra      sraMs             prasraMs             prasraMs yes
08         vi      sraMs              visraMs              visraMs yes
09      anuvi      sraMs           anuvisraMs           anuvisraMs yes
; Case 746  srA  1 (0/1)
01        pra        srA               prasrA               prasrE no
; Case 747  sru  23 (18/5)
01        ati        sru               atisru               atisru yes
02     samati        sru            samatisru            samatisru no
03        aDi        sru               aDisru               aDisru yes
04        aBi        sru               aBisru               aBisru yes
05        ava        sru               avasru               avasru yes
06     anvava        sru            anvavasru            anvavasru yes
07      vyava        sru             vyavasru             vyavasru yes
08     samava        sru            samavasru            samavasru yes
09          A        sru                 Asru                 Asru yes
10        upa        sru               upasru               upasru yes
11         ni        sru                nisru                nisru yes
12       vini        sru              vinisru              vinisru no
13        nis        sru               nissru               nissru no
14    anuparA        sru           anuparAsru           anuparAsru yes
15       pari        sru              parisru              parisru yes
16    anupari        sru           anuparisru           anuparisru yes
17        pra        sru               prasru               prasru yes
18     aBipra        sru            aBiprasru            aBiprasru no
19     avapra        sru            avaprasru            avaprasru no
20     saMpra        sru            samprasru            samprasru yes
21         vi        sru                visru                visru yes
22        sam        sru               saMsru               saMsru yes
23     aBisam        sru            aBisaMsru            aBisaMsru yes
; Case 748  svaj  7 (0/7)
01        aBi       svaj              aBisvaj              aBisvaj no
02         ni       svaj               nisvaj               nisvaj no
03       pari       svaj             parisvaj             parisvaj no
04    aBipari       svaj          aBiparisvaj          aBiparisvaj no
05    saMpari       svaj          saMparisvaj          saMparisvaj no
06         vi       svaj               visvaj               visvaj no
07        sam       svaj              saMsvaj              saMsvaj no
; Case 749  svad  4 (3/1)
01          A       svad                Asvad                Asvad yes
02       samA       svad             samAsvad             samAsvad yes
03      prati       svad            pratisvad            pratisvad no
04        sam       svad              saMsvad              saMsvad yes
; Case 750  svan  10 (5/5)
01        aDi       svan              aDisvan              aDisvan no
02        anu       svan              anusvan              anusvan no
03        ava       svan              avasvan              avasvan yes
04          A       svan                Asvan                Asvan yes
05         ni       svan               nisvan               nisvan yes
06        nis       svan              nissvan              nissvan no
07       pari       svan             parisvan             parisvan no
08        pra       svan              prasvan              prasvan no
09      prati       svan            pratisvan            pratisvan yes
10         vi       svan               visvan               visvan yes
; Case 751  svap  11 (4/7)
01        anu       svap              anusvap              anusvap no
02        ava       svap              avasvap              avasvap no
03        dus       svap              dussvap              dussvap no
04         ni       svap               nisvap               nisvap yes
05        nis       svap              nissvap              nissvap no
06        pra       svap              prasvap              prasvap yes
07     aBipra       svap           aBiprasvap           aBiprasvap no
08     saMpra       svap           samprasvap           samprasvap no
09      prati       svap            pratisvap            pratisvap no
10         vi       svap               visvap               visvap yes
11        sam       svap              saMsvap              saMsvap yes
; Case 752  svar  14 (8/6)
01        ati       svar              atisvar               atisvf yes
02        anu       svar              anusvar               anusvf no
03     samanu       svar           samanusvar            samanusvf yes
04        aBi       svar              aBisvar               aBisvf yes
05        ava       svar              avasvar               avasvf yes
06        upa       svar              upasvar               upasvf yes
07         ni       svar               nisvar                nisvf no
08        nis       svar              nissvar               nissvf no
09       pari       svar             parisvar              parisvf no
10        pra       svar              prasvar               prasvf yes
11      prati       svar            pratisvar             pratisvf no
12        sam       svar              saMsvar               saMsvf yes
13     aBisam       svar           aBisaMsvar            aBisaMsvf yes
14     pratyA       svar           pratyAsvar            pratyAsvf no
; Case 753  svid  6 (5/1)
01          A       svid                Asvid                Asvid yes
02         ud       svid               utsvid               utsvid no
03        upa       svid              upasvid              upasvid yes
04       pari       svid             parisvid             parisvid yes
05        pra       svid              prasvid              prasvid yes
06        sam       svid              saMsvid              saMsvid yes
; Case 754  had  1 (0/1)
01        upa        had               upahad               upahad no
; Case 755  han  60 (42/18)
01        ati        han               atihan               atihan yes
02      vyati        han             vyatihan             vyatihan yes
03        anu        han               anuhan               anuhan no
04      antar        han             antarhan             antarhan yes
05        apa        han               apahan               apahan yes
06      vyapa        han             vyapahan             vyapahan yes
07        api        han               apihan               apihan yes
08        aBi        han               aBihan               aBihan yes
09     samaBi        han            samaBihan            samaBihan no
10        ava        han               avahan               avahan yes
11     aDyava        han            aDyavahan            aDyavahan yes
12     anvava        han            anvavahan            anvavahan yes
13     aByava        han            aByavahan            aByavahan no
14   pratyava        han          pratyavahan          pratyavahan yes
15          A        han                 Ahan                 Ahan yes
16        apA        han               apAhan               apAhan yes
17       aByA        han              aByAhan              aByAhan yes
18        udA        han               udAhan               udAhan yes
19        upA        han               upAhan               upAhan yes
20       nirA        han              nirAhan              nirAhan no
21     pratyA        han            pratyAhan            pratyAhan yes
22        vyA        han               vyAhan               vyAhan yes
23       samA        han              samAhan              samAhan yes
24         ud        han                udhan                udhan no
25       upod        han              upodhan              upodhan no
26      samud        han             samudhan             samudhan no
27        upa        han               upahan               upahan yes
28     samupa        han            samupahan            samupahan no
29         ni        han                nihan                nihan yes
30      aBini        han             aBinihan             aBinihan yes
31      upani        han             upanihan             upanihan yes
32     pariRi        han            pariRihan            pariRihan yes
33      praRi        han             praRihan             praRihan yes
34    pratini        han           pratinihan           pratinihan yes
35       vini        han              vinihan              vinihan yes
36      saMni        han             saMnihan             saMnihan yes
37        nis        han               nirhan               nirhan yes
38     atinis        han            atinirhan            atinirhan no
39     aDinis        han            aDinirhan            aDinirhan yes
40    parinis        han           parinirhan           parinirhan yes
41      vinis        han             vinirhan             vinirhan no
42       parA        han              parAhan              parAhan yes
43       pari        han              parihan              parihan yes
44    aBipari        han           aBiparihan           aBiparihan yes
45        pra        han               prahan               prahan yes
46     aBipra        han            aBiprahan            aBiprahan yes
47      nipra        han             niprahan             niprahan yes
48     nizpra        han            nizprahan            nizprahan no
49      vipra        han             viprahan             viprahan no
50      prati        han             pratihan             pratihan yes
51   saMprati        han          sampratihan          sampratihan yes
52         vi        han                vihan                vihan yes
53      anuvi        han             anuvihan             anuvihan yes
54        Avi        han               Avihan               Avihan yes
55      pravi        han             pravihan             pravihan no
56    prativi        han           prativihan           prativihan no
57        sam        han               samhan               samhan no
58     aBisam        han            aBisamhan            aBisamhan no
59   pratisam        han          pratisamhan          pratisamhan no
60      visam        han             visamhan             visamhan no
; Case 756  har  95 (60/35)
01        ati        har               atihar                atihf yes
02     aByati        har            aByatihar             aByatihf no
03   pratyati        har          pratyatihar           pratyatihf no
04      vyati        har             vyatihar              vyatihf yes
05        aDi        har               aDihar                aDihf yes
06        anu        har               anuhar                anuhf yes
07      vyapa        har             vyapahar              vyapahf yes
08        aBi        har               aBihar                aBihf yes
09   pratyaBi        har          pratyaBihar           pratyaBihf yes
10        ava        har               avahar                avahf yes
11     anvava        har            anvavahar             anvavahf yes
12     aByava        har            aByavahar             aByavahf yes
13      upAva        har             upAvahar              upAvahf yes
14   aByupAva        har          aByupAvahar           aByupAvahf yes
15   pratyava        har          pratyavahar           pratyavahf yes
16      vyava        har             vyavahar              vyavahf yes
17   saMvyava        har          saMvyavahar           saMvyavahf yes
18     samava        har            samavahar             samavahf yes
19          A        har                 Ahar                  Ahf yes
20       atyA        har              atyAhar               atyAhf no
21       aDyA        har              aDyAhar               aDyAhf no
22       anvA        har              anvAhar               anvAhf yes
23    samanvA        har           samanvAhar            samanvAhf no
24       apyA        har              apyAhar               apyAhf yes
25       aByA        har              aByAhar               aByAhf yes
26        udA        har               udAhar                udAhf yes
27      anUdA        har             anUdAhar              anUdAhf no
28     aByudA        har            aByudAhar             aByudAhf yes
29      upodA        har             upodAhar              upodAhf yes
30   pratyudA        har          pratyudAhar           pratyudAhf yes
31     samudA        har            samudAhar             samudAhf yes
32        upA        har               upAhar                upAhf yes
33     aByupA        har            aByupAhar             aByupAhf yes
34   pratyupA        har          pratyupAhar           pratyupAhf yes
35     samupA        har            samupAhar             samupAhf yes
36     upanyA        har            upanyAhar             upanyAhf yes
37      paryA        har             paryAhar              paryAhf yes
38 pratiparyA        har        pratiparyAhar         pratiparyAhf yes
39     pratyA        har            pratyAhar             pratyAhf yes
40        vyA        har               vyAhar                vyAhf yes
41     ativyA        har            ativyAhar             ativyAhf no
42     anuvyA        har            anuvyAhar             anuvyAhf yes
43     apavyA        har            apavyAhar             apavyAhf yes
44     aBivyA        har            aBivyAhar             aBivyAhf yes
45  samaBivyA        har         samaBivyAhar          samaBivyAhf yes
46 anusamaBivyA        har      anusamaBivyAhar       anusamaBivyAhf no
47     pravyA        har            pravyAhar             pravyAhf yes
48       samA        har              samAhar               samAhf yes
49    anusamA        har           anusamAhar            anusamAhf yes
50    aBisamA        har           aBisamAhar            aBisamAhf yes
51    upasamA        har           upasamAhar            upasamAhf yes
52         ud        har                udhar                 udhf no
53      aDyud        har             aDyudhar              aDyudhf no
54       anUd        har              anUdhar               anUdhf no
55       apod        har              apodhar               apodhf no
56      aByud        har             aByudhar              aByudhf no
57   samaByud        har          samaByudhar           samaByudhf no
58       upod        har              upodhar               upodhf no
59       prod        har              prodhar               prodhf no
60    pratyud        har           pratyudhar            pratyudhf no
61       vyud        har              vyudhar               vyudhf no
62      samud        har             samudhar              samudhf no
63        upa        har               upahar                upahf yes
64     aByupa        har            aByupahar             aByupahf no
65   pratyupa        har          pratyupahar           pratyupahf no
66     samupa        har            samupahar             samupahf yes
67         ni        har                nihar                 nihf yes
68      aBini        har             aBinihar              aBinihf no
69        nis        har               nirhar                nirhf yes
70     aBinis        har            aBinirhar             aBinirhf no
71     upanis        har            upanirhar             upanirhf no
72      vinis        har             vinirhar              vinirhf yes
73       parA        har              parAhar               parAhf no
74  pratiparA        har         pratiparAhar          pratiparAhf yes
75       pari        har              parihar               parihf yes
76    anupari        har           anuparihar            anuparihf no
77    aBipari        har           aBiparihar            aBiparihf yes
78     vipari        har            viparihar             viparihf yes
79    saMpari        har           saMparihar            saMparihf no
80        pra        har               prahar                prahf yes
81     anupra        har            anuprahar             anuprahf yes
82     aBipra        har            aBiprahar             aBiprahf no
83   pratipra        har          pratiprahar           pratiprahf no
84     saMpra        har            samprahar             samprahf yes
85      prati        har             pratihar              pratihf yes
86         vi        har                vihar                 vihf yes
87      aBivi        har             aBivihar              aBivihf yes
88     parivi        har            parivihar             parivihf no
89   saMpravi        har          sampravihar           sampravihf yes
90      saMvi        har             saMvihar              saMvihf yes
91     anusam        har            anusamhar             anusamhf no
92     aBisam        har            aBisamhar             aBisamhf no
93     upasam        har            upasamhar             upasamhf no
94  samupasam        har         samupasamhar          samupasamhf no
95   pratisam        har          pratisamhar           pratisamhf no
; Case 757  hary  4 (4/0)
01        aBi       hary              aBihary              aBihary yes
02          A       hary                Ahary                Ahary yes
03      prati       hary            pratihary            pratihary yes
04         vi       hary               vihary               vihary yes
; Case 758  harz  18 (8/10)
01        anu       harz              anuharz               anuhfz no
02        aBi       harz              aBiharz               aBihfz yes
03     samaBi       harz           samaBiharz            samaBihfz yes
04        ava       harz              avaharz               avahfz no
05          A       harz                Aharz                 Ahfz yes
06        vyA       harz              vyAharz               vyAhfz no
07         ud       harz               udharz                udhfz no
08       prod       harz             prodharz              prodhfz no
09      samud       harz            samudharz             samudhfz no
10         ni       harz               niharz                nihfz yes
11       pari       harz             pariharz              parihfz yes
12        pra       harz              praharz               prahfz yes
13     saMpra       harz           sampraharz            samprahfz yes
14      prati       harz            pratiharz             pratihfz yes
15         vi       harz               viharz                vihfz no
16        sam       harz              samharz               samhfz no
17    parisam       harz          parisamharz           parisamhfz no
18   pratisam       harz         pratisamharz          pratisamhfz no
; Case 759  has  17 (9/8)
01        ati        has               atihas               atihas no
02      vyati        has             vyatihas             vyatihas yes
03        apa        has               apahas               apahas yes
04        aBi        has               aBihas               aBihas no
05      vyaBi        has             vyaBihas             vyaBihas no
06        ava        has               avahas               avahas yes
07      vyava        has             vyavahas             vyavahas no
08     samava        has            samavahas            samavahas no
09         ud        has                udhas                udhas no
10        upa        has               upahas               upahas yes
11       pari        has              parihas              parihas yes
12        pra        has               prahas               prahas yes
13     aBipra        has            aBiprahas            aBiprahas no
14  samaBipra        has         samaBiprahas         samaBiprahas no
15     saMpra        has            samprahas            samprahas yes
16         vi        has                vihas                vihas yes
17      saMvi        has             saMvihas             saMvihas yes
; Case 760  hA  35 (21/14)
01        ati         hA                atihA                atihA yes
02        anu         hA                anuhA                anuhA yes
03        apa         hA                apahA                apahA yes
04        aBi         hA                aBihA                aBihA yes
05         ud         hA                 udhA                 udhA no
06      atyud         hA              atyudhA              atyudhA no
07       anUd         hA               anUdhA               anUdhA no
08      aByud         hA              aByudhA              aByudhA no
09       prod         hA               prodhA               prodhA no
10    pratyud         hA            pratyudhA            pratyudhA no
11      samud         hA              samudhA              samudhA no
12        upa         hA                upahA                upahA yes
13         ni         hA                 nihA                 nihA yes
14        nis         hA                nirhA                nirhA yes
15       parA         hA               parAhA               parAhA yes
16        pra         hA                prahA                prahA yes
17     atipra         hA             atiprahA             atiprahA yes
18     aBipra         hA             aBiprahA             aBiprahA yes
19         vi         hA                 vihA                 vihA yes
20        sam         hA                samhA                samhA no
21    parisam         hA            parisamhA            parisamhA no
22   pratisam         hA           pratisamhA           pratisamhA no
23      vyapa         hA              vyapahA              vyapahA yes
24        api         hA                apihA                apihA no
25        ava         hA                avahA                avahA yes
26      vyava         hA              vyavahA              vyavahA no
27     samava         hA             samavahA             samavahA yes
28          A         hA                  AhA                  AhA no
29        apA         hA                apAhA                apAhA no
30       pari         hA               parihA               parihA yes
31      vipra         hA              viprahA              viprahA yes
32     saMpra         hA             samprahA             samprahA yes
33      prati         hA              pratihA              pratihA yes
34      pravi         hA              pravihA              pravihA yes
35    prativi         hA            prativihA            prativihA yes
; Case 761  hi  11 (6/5)
01        apa         hi                apahi                apahi yes
02        api         hi                apihi                apihi no
