car:39232:acCa,ati,vyati,aDi,anu,antar,apa,aBi,pratyaBi,vyaBi,ava,anvava,aByava,A,aDyA,aByA,udA,aByudA,samudA,upA,samupA,upanyA,paryA,samA,anusamA,ud,aByud,prod,pratyud,vyud,anuvyud,samud,upa,dus,ni,nis,vinis,parA,pari,saMpari,pra,saMpra,prati,vi,anuvi,aBivi,parivi,pravi,saMpravi,anusaMvi,sam,anusam,aBisam,upasam,parisam,pratisam,visam car:72173:verb:1Ā,1P:
caraRy:39266:A,ud caraRya:72289:verb::
carc:39316:vi carc:72401:verb:1,10Ā:
cart:39330:ati,ava,A,upa,ni,nis,pari,pra,vi,sam cft:74888:verb:6,1,10:
cal:39426:A,ud,prod,samud,ni,pari,pra,*saMpra,vi,anuvi,pravi,sam cal:72587:verb:1Ā:
cAy:39657:apa,ni cAy:73035:verb:1Ā:
ci:39789&39790:aDi,anu,apa,ava,A,anvA,avA,samA,ud,aByud,samud,upa,samupa,ni,*pariRi,saMni,pari,pra,saMpra,vi,saMvi,sam,aBisam,parisam~anu,apa,ava,upa,ni,nis,aBinis,parinis,vinis,pari,vi,pravi,sam ci:73297&73362&73366:verb:5Ā,5P,3Ā,5Ā,1:
cit:39876:anu,apa,A,pra,atipra,vi,pravi,sam cit:73474:verb:1,2Ā,3Ā,3P:
citray:40058:ud citraya:73986:verb::
citrIy:40147:ati citrIya:74004:verb::
cint:40181:anu,samanu,aBi,vyA,nis,pari,saMpari,pra,vipra,prati,vi,anuvi,pravi,saMvi,sam,anusam,aBisam cint:74105:verb:10,1:
cihnay:40326:aBi cihnaya:74408:verb:P:
cud:40439:aBi,ni,pari,pra,aBipra,saMpra,prati,sam cud:74573:verb:1Ā:
cup:40443:ni,pra cup:74614&74616:verb:1,6:
cumb:40453:vyati,ud,pari,vi cumb:74626&74627:verb:10,1Ā:
cUrRay:40545:ava,vini,pra cUrR:74801:verb:10:
cUz:40564:A,sam cUz:74874:verb:1:
cezw:40638:ati,A,samA,pari,vi,pravi,sam cezw:74971:verb:1:
cyu:40817:apa,A,ud,upa,nis,pari,pra,atipra,anupra,aBipra,saMpra,prati,vi,sam cyu:75257&75258:verb:10,1P,1Ā:
Cad:40881&40883:anu,apa,aBi,samaBi,ava,samava,A,samA,ud,apod,samud,upa,*samupa,pari,pra,vipra,prati,vi,sam~ava,upa,*vi,sam Cad:75390&75556&75683:verb:1,10Ā,10,1Ā,1:
Card:40981:A,pra Cfd:76102:verb:7P,7Ā,1Ā:
Calay:40999:upa Cal:75712:verb:10P:
CA:41015:anu,ava,A,pra Co:76143:verb:4:
Cid:41118:ati,antar,apa,samapa,ava,paryava,vyava,A,avA,upA,samA,ud,vyud,samud,pari,vipari,pra,saMpra,prati,vi,sam Cid:75907:verb:7,9Ā:
Cuw:41166:A Cuw:76066:verb:6,10:
Cuq:41167:pra Cuq:76073:verb:6:
Cur:41173:*ava,A,vi Cur:76084:verb:6:
jakz:41215:*apa,*pari,*pra,prati,vi jakz:76186&76187:verb:0,2Ā:
jan:41470:*vyati,aDi,anu,samanu,apa,api,aBi,samaBi,ava,A,udA,pratyA,ud,upa,samupa,nis,pari,pra,anupra,apapra,aBipra,upapra,prapra,saMpra,prati,vi,sam,aBisam,upasam,pratisam jan:76735:verb:1,10Ā,10P,3Ā,10,4,2Ā,1Ā:
jap:41675:aBi,A,upa,pari,pra,prati,sam jap:77153:verb:1Ā:
jaB:41697:aBi jaB:77183&77248:verb:1,1Ā:
jar:41878&41880:*anu,nis,pari,pra,sam~sam jf:80119&80120:verb:1P,1Ā:
jalp:42294:*vyati,anu,aBi,upa,pari,pra,prati,vi,sam jalp:78292:verb:1Ā:
jas:42331:ud,*prod,ni jas:78362:verb:1Ā,1P,4P:
ji:42736:ati,vyati,aDi,anu,apa,aBi,pratyaBi,ava,A,ud,anUd,aByud,upa,nis,aBinis,parinis,pratinis,vinis,parA,pari,pra,prati,vi,sam ji:79180:verb:1Ā,9Ā:
jinv:42844:A,pra,upapra jinv:79399:verb:1P,1Ā:
jIv:42965:ati,anu,A,ud,aByud,pratyud,upa,pra,prati,vi,sam,pratisam jIv:79622:verb:1Ā:
juz:43157:anu,aBi,ava,samA,upa,nis,pra,prati,sam juz:80017:verb:6Ā,6P,3P,1P,1Ā:
jU:43178:api,pra jU:80068:verb:1Ā,9P,1P:
jUrv:43200:ni,sam jUrv:80115:verb:1P:
jeh:43230:vi jeh:80186:verb:1Ā:
jYA:43318:ati,anu,aByanu,pratyaByanu,pratyanu,samanu,*apa,aBi,pratyaBi,samaBi,ava,A,aByA,samA,upa,samupa,praRi,nis,vinis,pari,pra,anupra,aBipra,pratipra,saMpra,prati,saMprati,vi,aBivi,pravi,prativi,saMvi,sam,aBisam,pratisam jYA:80318:verb:9P,9Ā,3Ā,3P:
jyA:43453:aDi,*upa,pari,*pra jyA:80523:verb:9P,4Ā:
jyut:43479:ava jyut:80662:verb:1Ā,1P:
jramB:43620:ava,aBi,vyA,ud,samud,pari,pra,vi,pravi,sam jfmB:80122:verb:1Ā,1P:
jri:43624:upa,pari jri:80851&80856:verb:1P,1,9,10:
jvar:43627:pra,sam,anusam,aBisam jvar:80857:verb:1:
jval:43647:apa,aBi,ava,aByava,ud,prod,samud,upa,pra,atipra,aBipra,saMpra,prati,aBivi,sam jval:80890:verb:1P,1Ā:
Jaw:43687:ud Jaw:80979:verb:1:
waNkay:43805:ud,nis,vi waNk:81181:verb:10:
wIk:43854:A,ud wIk:81264:verb:1Ā,1P:
qamb:43908:vi qamb:81348:verb:10:
qI:43966:ati,aBi,ava,ud,prod,ni,nis,parA,pari,pra,vi,sam,avasam qI:81442:verb:1,4Ā:
QOk:44021:upa QOk:81523:verb:1Ā:
taMs:44032:aBi,A,upa,nis,parA,vi taMs:81566:verb:1P,1Ā,10:
tak:44034:nis,pari,pra tak:81570:verb:2,1:
takz:44059:anu,apa,ava,A,nis,pra,vi,sam takz:81602:verb:1P,1Ā,2,5Ā:
taNk:44080:pra taNk:81649:verb:1P:
taYc:44092:A,aByA,upA taYc:81659&81660:verb:1,7:
taq:44108:aBi,ava,A,pari,pra,vi,sam taq:81685:verb:10:
